,user_name,num_of_logs,sum_num25,avg_num25,sum_num50,avg_num50,sum_num75,avg_num75,sum_num985,avg_num985,sum_num100,avg_num100,sum_num_total,avg_num_total,sum_num_unq,avg_num_unq,sum_total_secs,avg_total_secs,perc_of_accidentally_songs,perc_of_favourite_songs
0,zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,4,45,11.25,9,2.25,5,1.25,2,0.5,30,7.5,91,22.75,83,20.75,10456.617,2614.15425,0.4945054945054945,0.32967032967032966
1,zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,4,6,1.5,2,0.5,1,0.25,3,0.75,29,7.25,41,10.25,33,8.25,8950.681999999999,2237.6704999999997,0.14634146341463414,0.7073170731707317
2,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,10,39,3.9,6,0.6,8,0.8,17,1.7,527,52.7,597,59.7,440,44.0,135537.514,13553.7514,0.06532663316582915,0.8827470686767169
3,zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,5,18,3.6,5,1.0,10,2.0,2,0.4,77,15.4,112,22.4,98,19.6,22428.567,4485.7134,0.16071428571428573,0.6875
4,zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,12,29,2.4166666666666665,15,1.25,8,0.6666666666666666,12,1.0,193,16.083333333333332,257,21.416666666666668,196,16.333333333333332,54345.282,4528.7735,0.11284046692607004,0.7509727626459144
5,zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,8,8,1.0,3,0.375,1,0.125,4,0.5,139,17.375,155,19.375,94,11.75,37632.179000000004,4704.0223750000005,0.05161290322580645,0.896774193548387
6,zzkXRrSwb5YwoC6X0Lr1yASb3nChanwe7CZuElXOZ4I=,1,3,3.0,0,0.0,0,0.0,0,0.0,7,7.0,10,10.0,9,9.0,1827.1589999999999,1827.1589999999999,0.3,0.7
7,zzfD9N/35OvcLc0Qe/qXhQSNF812/qO8COjGX5L7j8k=,2,17,8.5,5,2.5,1,0.5,3,1.5,20,10.0,46,23.0,43,21.5,6185.462,3092.731,0.3695652173913043,0.43478260869565216
8,zzVLNBeDA/LeQX9kVCwgd/mr0YAbrdUY/jkoJvNoW/c=,5,168,33.6,6,1.2,6,1.2,9,1.8,101,20.2,290,58.0,237,47.4,30107.82,6021.564,0.5793103448275863,0.3482758620689655
9,zzT1BU5MzUYHWKnBa48zdP7lZWITeOmsimFU5bw1aQc=,10,84,8.4,14,1.4,2,0.2,6,0.6,248,24.8,354,35.4,323,32.3,63952.535,6395.253500000001,0.23728813559322035,0.7005649717514124
10,zzRpViDA3YXl9f+XuMjpqYy0x9Q3V812IzUDhzRgw0M=,2,4,2.0,1,0.5,1,0.5,0,0.0,51,25.5,57,28.5,53,26.5,12983.356999999998,6491.678499999999,0.07017543859649122,0.8947368421052632
